Episode,Total Reward,Avg Loss,Deployed Nodes,Coverage
1809,-65032.74000000013,5.339110977275337e+23,65.0,99.5149
1810,-40427.81999999999,5.623792140419752e+23,34.0,100.0
1811,-29568.73999999999,5.501246096082457e+23,40.0,100.0
1812,-73002.88999999987,5.6913470188801946e+23,55.0,100.0
1813,-48981.73999999999,4.83524808263058e+23,41.0,100.0
1814,-67643.27000000005,5.192327387416342e+23,58.0,100.0
1815,-48280.07,5.4505053492819347e+23,40.0,100.0
1816,-30578.99999999999,5.6334836500571874e+23,38.0,100.0
1817,-41020.00000000001,5.275017879168206e+23,37.0,100.0
1818,-45308.58999999999,5.107708738394284e+23,53.0,100.0
1819,-51737.780000000064,5.6692572027992764e+23,36.0,100.0
1820,-72620.26999999981,5.1335594489096637e+23,43.0,100.0
1821,-63368.240000000005,5.182262236764994e+23,42.0,100.0
1822,-53290.55000000005,5.2959261674853895e+23,50.0,100.0
1823,-41727.640000000065,5.5012328460343604e+23,48.0,100.0
1824,-42818.89,5.6038636139902456e+23,50.0,100.0
1825,-62248.77000000012,5.399412793980982e+23,46.0,100.0
1826,-67908.4999999999,5.415562699242333e+23,47.0,100.0
1827,-46281.33999999999,4.88388455868798e+23,27.0,100.0
1828,-58110.85,5.3471297405559796e+23,49.0,100.0
1829,-77541.02999999981,5.17463325989849e+23,61.0,100.0
1830,-69875.79000000004,5.4020847027784675e+23,74.0,99.0
1831,-68805.74999999985,5.493286062821236e+23,44.0,100.0
1832,-30945.040000000023,5.637474858427296e+23,32.0,100.0
1833,-55873.74999999998,5.714542020187393e+23,73.0,99.75
1834,-26690.829999999987,5.357599452685797e+23,40.0,100.0
1835,-34727.80999999999,5.410274361791412e+23,70.0,100.0
1836,-38468.630000000034,5.3739154674704905e+23,46.0,100.0
1837,-46434.44000000001,5.2029806948499085e+23,33.0,100.0
1838,-44210.79000000006,5.386210288946093e+23,39.0,100.0
1839,-64675.1400000001,5.448290205737947e+23,53.0,100.0
1840,-58902.78000000003,5.323565359572345e+23,29.0,100.0
1841,-38865.829999999994,5.344104329605734e+23,24.0,100.0
1842,-45969.72000000001,5.251915803905738e+23,35.0,100.0
1843,-59242.32000000014,5.7071250785903534e+23,58.0,100.0
1844,-58703.049999999996,5.5961752804140736e+23,34.0,100.0
1845,-52522.650000000016,5.119085258702525e+23,44.0,100.0
1846,-35822.170000000035,5.336312162294552e+23,41.0,100.0
1847,-30713.500000000004,5.7415087058228586e+23,49.0,100.0
1848,-55400.76000000014,5.4791889729127515e+23,60.0,100.0
1849,-44044.01,5.188240273291423e+23,36.0,100.0
1850,-36194.73,5.056198892261319e+23,23.0,100.0
1851,-81392.11999999968,5.79204372034195e+23,66.0,100.0
1852,-64395.40000000007,5.678717962211809e+23,71.0,99.505
1853,-51309.7200000001,5.624896260543497e+23,64.0,100.0
1854,-59158.58000000003,5.669255141989326e+23,40.0,100.0
1855,-37443.820000000065,5.750159346927282e+23,41.0,100.0
1856,-61279.92999999999,5.855614125094315e+23,48.0,100.0
1857,-44605.72,5.5250391505743646e+23,33.0,100.0
1858,-47482.66999999998,5.459286232408857e+23,50.0,100.0
1859,-50412.60000000001,5.656645485370254e+23,27.0,100.0
1860,-45647.320000000036,5.764932708662186e+23,32.0,100.0
1861,-60240.140000000036,5.820350550534036e+23,27.0,100.0
1862,-81233.98999999964,5.727311562599636e+23,71.0,99.5149
1863,-33054.019999999975,5.673308400468998e+23,40.0,100.0
1864,-37408.41000000009,5.168104165406287e+23,64.0,100.0
